Iid1,f.A3G313,f.AH83,f.B2,f.CI18722,f.CI540,f.FE,f.I159,f.Ill.Hy,f.OS420,f.Tr,f.WD456
A3G313,0.947977172321632,0.203902688997011,0.228072937583428,0.21393895135481,0.215176944858458,0.217360241344789,0.21347239785009,0.213926723051683,0.199030966312044,0.225514480370506,0.207986861416663
AH83,0.203902688997011,0.996996233819563,0.299533142309108,0.269025838545237,0.262027377653098,0.287962057226123,0.276111052401733,0.315263317185976,0.302862155678987,0.301427515656821,0.283466698129603
B2,0.228072937583428,0.299533142309108,0.997319803183122,0.298370842572342,0.253634666272511,0.296374000608646,0.327079600190552,0.313215269916096,0.34104099903951,0.32191522121626,0.311053347761945
CI18722,0.21393895135481,0.269025838545237,0.298370842572342,0.940847090291626,0.238003195957356,0.294261837949257,0.299525294705243,0.308762697519093,0.290729434902879,0.305070716543229,0.261231941273321
CI540,0.215176944858458,0.262027377653098,0.253634666272511,0.238003195957356,0.983359712268142,0.241804358754497,0.239917743152591,0.251728559078719,0.263129073596269,0.283987956174994,0.244015239763344
FE,0.217360241344789,0.287962057226123,0.296374000608646,0.294261837949257,0.241804358754497,0.996869997509116,0.284060311881369,0.29872951553361,0.29646163218514,0.298115872467919,0.283233188887343
I159,0.21347239785009,0.276111052401733,0.327079600190552,0.299525294705243,0.239917743152591,0.284060311881369,0.997745527848055,0.304432600706343,0.284825133287458,0.307382490561661,0.304496044775322
Ill.Hy,0.213926723051683,0.315263317185976,0.313215269916096,0.308762697519093,0.251728559078719,0.29872951553361,0.304432600706343,0.988150285993766,0.270722316394948,0.301887358333444,0.302469348065648
OS420,0.199030966312044,0.302862155678987,0.34104099903951,0.290729434902879,0.263129073596269,0.29646163218514,0.284825133287458,0.270722316394948,0.997601761608968,0.340327827475508,0.308892849549002
Tr,0.225514480370506,0.301427515656821,0.32191522121626,0.305070716543229,0.283987956174994,0.298115872467919,0.307382490561661,0.301887358333444,0.340327827475508,0.987473146085315,0.307947874144113
WD456,0.207986861416663,0.283466698129603,0.311053347761945,0.261231941273321,0.244015239763344,0.283233188887343,0.304496044775322,0.302469348065648,0.308892849549002,0.307947874144113,0.976515263811072
